"ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","start_lat","start_lng","end_lat","end_lng","member_casual"
"56269E94B2206375","classic_bike","2023-10-31 11:52:42","2023-10-31 12:03:33","McGinley Square","JC055","Marin Light Rail","JC013",40.7253399253558,-74.06762212514877,40.71458403535893,-74.04281705617905,"member"
"2B2F6514026F5C68","classic_bike","2023-10-16 08:24:33","2023-10-16 08:35:28","Astor Place","JC077","Grove St PATH","JC115",40.719298959,-74.071357369,40.71941,-74.04309,"member"
"3716C0E2166FE548","classic_bike","2023-10-21 11:46:26","2023-10-21 11:56:30","McGinley Square","JC055","Grove St PATH","JC115",40.725428224,-74.067576528,40.71941,-74.04309,"member"
"E06BF0A228598DDF","classic_bike","2023-10-26 09:42:42","2023-10-26 09:51:28","Astor Place","JC077","Marin Light Rail","JC013",40.719266772,-74.071328402,40.71458403535893,-74.04281705617905,"member"
"1EA3E3FFB17B6B16","classic_bike","2023-10-22 13:20:54","2023-10-22 15:00:09","McGinley Square","JC055","Grove St PATH","JC115",40.7253399253558,-74.06762212514877,40.71941,-74.04309,"casual"
"2FD8F9C81D62BDA5","classic_bike","2023-10-12 19:59:48","2023-10-12 20:12:21","Adams St & 2 St","HB407","Grove St PATH","JC115",40.739690423,-74.036816716,40.71941,-74.04309,"member"
"EF6067904C0CD8A4","classic_bike","2023-10-10 08:20:36","2023-10-10 08:30:26","Astor Place","JC077","Grove St PATH","JC115",40.719129443,-74.071319461,40.71941,-74.04309,"member"
"1E49231063F20970","classic_bike","2023-10-05 08:00:54","2023-10-05 08:08:40","Astor Place","JC077","Grove St PATH","JC115",40.719245434,-74.071470022,40.71941,-74.04309,"member"
"A8332AF9D2931008","classic_bike","2023-10-03 08:06:12","2023-10-03 08:14:43","Astor Place","JC077","Grove St PATH","JC115",40.719031333333334,-74.04334878333333,40.71941,-74.04309,"member"
"190A45259B17EB93","classic_bike","2023-10-07 16:49:43","2023-10-07 16:59:31","Adams St & 2 St","HB407","Grove St PATH","JC115",40.739734292,-74.03684938,40.71941,-74.04309,"member"
"11D14B9B0B5C842A","classic_bike","2023-10-11 08:31:35","2023-10-11 08:39:59","Astor Place","JC077","Grove St PATH","JC115",40.719285965,-74.071409345,40.71941,-74.04309,"member"
"78EC95DD641A7F47","classic_bike","2023-10-02 08:11:11","2023-10-02 08:19:32","Astor Place","JC077","Grove St PATH","JC115",40.719250202,-74.071437001,40.71941,-74.04309,"member"
"EFE82C15DAC448FB","classic_bike","2023-10-21 22:42:25","2023-10-21 22:49:36","McGinley Square","JC055","Grove St PATH","JC115",40.725377679,-74.067560911,40.71941,-74.04309,"member"
"1D26ED4738420527","electric_bike","2023-10-24 07:59:37","2023-10-24 08:03:24","Brunswick St","JC023","Grove St PATH","JC115",40.7241765,-74.0506564,40.71941,-74.04309,"member"
"C92514461F1E1B58","classic_bike","2023-10-02 08:26:21","2023-10-02 08:30:46","Brunswick St","JC023","Grove St PATH","JC115",40.7241765,-74.0506564,40.71941,-74.04309,"member"
"00DF322EB840B721","classic_bike","2023-10-03 08:01:51","2023-10-03 08:05:41","Brunswick St","JC023","Grove St PATH","JC115",40.7241765,-74.0506564,40.71941,-74.04309,"member"
"9066F52EED154656","classic_bike","2023-10-19 09:34:00","2023-10-19 09:38:50","Brunswick St","JC023","Grove St PATH","JC115",40.7241765,-74.0506564,40.71941,-74.04309,"member"
"45FDA244C028458D","classic_bike","2023-10-10 07:53:44","2023-10-10 07:57:48","Brunswick St","JC023","Grove St PATH","JC115",40.7241765,-74.0506564,40.71941,-74.04309,"member"
"944D05C9903C9F1D","classic_bike","2023-10-02 08:05:36","2023-10-02 08:09:55","Brunswick St","JC023","Grove St PATH","JC115",40.7241765,-74.0506564,40.71941,-74.04309,"member"
"21235A622A5A5643","classic_bike","2023-10-21 20:52:53","2023-10-21 20:56:10","Brunswick St","JC023","Grove St PATH","JC115",40.724099398,-74.050610542,40.71941,-74.04309,"member"
"7C92C9F93E7D89C7","classic_bike","2023-10-31 08:00:32","2023-10-31 08:04:11","Brunswick St","JC023","Grove St PATH","JC115",40.7241765,-74.0506564,40.71941,-74.04309,"member"
"FBE9B4701DFF7716","classic_bike","2023-10-25 09:32:33","2023-10-25 09:37:21","Brunswick St","JC023","Grove St PATH","JC115",40.7241765,-74.0506564,40.71941,-74.04309,"member"
"1D10A54E05CBF1AB","classic_bike","2023-10-19 14:18:57","2023-10-19 14:23:04","Brunswick St","JC023","Grove St PATH","JC115",40.724130034,-74.050769567,40.71941,-74.04309,"member"
"4AB1E0181CF61BE4","classic_bike","2023-10-16 07:54:07","2023-10-16 07:58:38","Brunswick St","JC023","Grove St PATH","JC115",40.7241765,-74.0506564,40.71941,-74.04309,"member"
"EC5FC81DFF09B9E7","classic_bike","2023-10-17 07:53:41","2023-10-17 07:57:30","Brunswick St","JC023","Grove St PATH","JC115",40.7241765,-74.0506564,40.71941,-74.04309,"member"
"2C2B8D976C5E43BA","classic_bike","2023-10-11 08:02:43","2023-10-11 08:07:37","Brunswick St","JC023","Grove St PATH","JC115",40.7241765,-74.0506564,40.71941,-74.04309,"member"
"3C56513C98B8DE0C","classic_bike","2023-10-25 09:47:48","2023-10-25 09:52:33","Brunswick St","JC023","Grove St PATH","JC115",40.7241765,-74.0506564,40.71941,-74.04309,"member"
"B9E158AD35DD0A19","classic_bike","2023-10-04 12:47:43","2023-10-04 12:52:31","Brunswick St","JC023","Grove St PATH","JC115",40.7241765,-74.0506564,40.71941,-74.04309,"member"
"87740042E25705DA","electric_bike","2023-10-12 07:07:14","2023-10-12 07:10:28","Brunswick St","JC023","Grove St PATH","JC115",40.7241765,-74.0506564,40.71941,-74.04309,"member"
"C6A760AD1DCD2EE7","classic_bike","2023-10-17 13:09:25","2023-10-17 13:15:02","Brunswick St","JC023","Grove St PATH","JC115",40.7241765,-74.0506564,40.71941,-74.04309,"member"
"1A4D50F77F715827","classic_bike","2023-10-20 20:04:21","2023-10-20 20:10:40","Brunswick St","JC023","Grove St PATH","JC115",40.7241765,-74.0506564,40.71941,-74.04309,"member"
"E263333924E1043B","classic_bike","2023-10-28 11:39:40","2023-10-28 11:45:35","Brunswick St","JC023","Grove St PATH","JC115",40.7241765,-74.0506564,40.71941,-74.04309,"member"
"0AE6D985D3055F3E","classic_bike","2023-10-18 07:51:47","2023-10-18 07:55:46","Brunswick St","JC023","Grove St PATH","JC115",40.7241765,-74.0506564,40.71941,-74.04309,"member"
"2AA3344649C8A030","classic_bike","2023-10-23 07:31:39","2023-10-23 07:35:37","Brunswick St","JC023","Grove St PATH","JC115",40.723946095,-74.050704837,40.71941,-74.04309,"member"
"52D3FFF7D6A19DA4","classic_bike","2023-10-04 07:09:00","2023-10-04 07:13:43","Brunswick St","JC023","Grove St PATH","JC115",40.7241765,-74.0506564,40.71941,-74.04309,"member"
"A6561846E4DFB0C4","classic_bike","2023-10-10 07:23:19","2023-10-10 07:26:49","Brunswick St","JC023","Grove St PATH","JC115",40.723977447,-74.050758243,40.71941,-74.04309,"member"
"0793C345690B3864","classic_bike","2023-10-30 07:31:53","2023-10-30 07:35:54","Brunswick St","JC023","Grove St PATH","JC115",40.724030852,-74.050726295,40.71941,-74.04309,"member"
"BDB70038362B5177","classic_bike","2023-10-24 07:28:09","2023-10-24 07:31:44","Brunswick St","JC023","Grove St PATH","JC115",40.724099755,-74.050730944,40.71941,-74.04309,"member"
"577390FCD29F76E2","classic_bike","2023-10-05 18:17:43","2023-10-05 18:22:04","Brunswick St","JC023","Grove St PATH","JC115",40.7241765,-74.0506564,40.71941,-74.04309,"member"
"535C663FFB31017F","classic_bike","2023-10-25 07:11:49","2023-10-25 07:15:19","Brunswick St","JC023","Grove St PATH","JC115",40.724160314,-74.050771952,40.71941,-74.04309,"member"
